"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","keithley580","Model 580 Micro-ohmmeter Specifications Rev. A","Tektronix","UNKNOWN","","","10","T4_manual_review"
"community","keithley6220","Keithley 6220 DC Precision Current Source","Tektronix","UNKNOWN","","","1","T4_manual_review"
"community","keithley6514","Keithley 6514 System Electrometer","Tektronix","UNKNOWN","","FETC?","3","T4_manual_review"
"community","keithley79996","Keithley Instruments & Products","Tektronix","UNKNOWN","","","0","T4_manual_review"
"community","kel10_x","KEL100 Series DC Electronic Load","KORAD","VISA_SCPI","lantz/VISA",":MEAS:VOLT?","11","T2_visa_needs_rs232_idn"
"community","keyboard_listener","Keyboard Listener","Open Source","SERIAL","pyserial","","4","T1b_serial_probe_tbd"
"community","keysight","Keysight 浠櫒閫氱敤鎺ュ彛 鍒嗘瀽浠櫒 Keysight","Keysight Technologies","VISA_SCPI","lantz/VISA","DISPlay:BOOKmark1:XPOSition?","44","T2_visa_needs_rs232_idn"
"community","keysight_dsox2024_a_wrapper","Keysight InfiniiVision DSOX2024A Digital Storage Oscilloscope","Keysight","UNKNOWN","",":WAV:PRE?","20","T4_manual_review"
"community","keysight_field_fox","Keysight FieldFox N9914A 鎵嬫寔寮廟F鍒嗘瀽浠?","Keysight","UNKNOWN","","SENS:SWE:POIN?","3","T4_manual_review"
"community","keysight_infinii_vision_x","Keysight Infinii Vision X","Keysight Technologies","VISA_SCPI","lantz/VISA","*IDN?","5","T2_visa_needs_rs232_idn"
"community","keysight_n90nn_b","'Expert Signal Analyzers: N9030B'","Keysight","UNKNOWN","",":INST:SEL?","3","T4_manual_review"
"community","kvaser_bus","Kvaser Bus","Kvaser","SERIAL","pyserial","","4","T1b_serial_probe_tbd"
"community","lakeshore336","Model 336 cryogenic temperature controller","Lake Shore","SERIAL","pyserial","","2","T1b_serial_probe_tbd"
"community","lakeshore340","Model 340 Cryogenic Temperature Controller","Lake Shore","UNKNOWN","","","2","T4_manual_review"
"community","lakeshore350","Model 350 cryogenic temperature controller","Lake Shore","VISA_SCPI","lantz/VISA","*IDN?","8","T2_visa_needs_rs232_idn"
"community","lakeshore370","Model 370 AC Resistance Bridge","Lake Shore","UNKNOWN","","","2","T4_manual_review"
"community","lambda103","PerkinElmer Lambda 103 绱-鍙鍒嗗厜鍏夊害璁?","PerkinElmer","VISA_SCPI","lantz/VISA","","7","T2_visa_needs_rs232_idn"
"community","laser_power_control","Laser Power Control","Open Source","VISA_SCPI","lantz/VISA","","7","T2_visa_needs_rs232_idn"
"community","lcc25","str","Thorlabs","UNKNOWN","","*IDN?","5","T4_manual_review"
"community","lcr__backend","Generic LCR Meter Measurement Backend 鍚庣鎺у埗鍣?","Open Source","VISA_SCPI","lantz/VISA","*IDN?","12","T2_visa_needs_rs232_idn"
"community","leoni_switch","National National Instruments Leoni Switch","National Instruments (NI)","TCP","socket","","6","T3_network_needs_ext"
"community","lib_ftdi","鑹剧珛鏈珹liben- LT.D00鍙板紡婵€鍏夎瀵煎嚮绌垮厜璋变华","鎴愰兘鑹剧珛鏈鎶€鏈夐檺鍏徃","SERIAL","pyserial","","36","T1b_serial_probe_tbd"
"community","light_crafter","type: string","","TCP","socket","","418","T3_network_needs_ext"
"community","liquid_classes","Generic Liquid Classes","Open Source","UNKNOWN","","","58","T4_manual_review"
"community","liquid_level","Tecan Tecan Group Liquid Level","Tecan Group","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","live_plot_client","type: string","Open Source","UNKNOWN","","","13","T4_manual_review"
"community","li_ha","Tecan Tecan LiHa Liquid Handling Arm","Tecan Group","UNKNOWN","","","59","T4_manual_review"
"community","lm","Thorlabs Laser Module 妯″潡 鍒嗘瀽浠櫒 婵€鍏夊櫒","Thorlabs","UNKNOWN","","rstli?","15","T4_manual_review"
"community","localisation_rule","type: string","","TCP","socket","","144","T3_network_needs_ext"
"community","local_client","Local Client","Open Source","UNKNOWN","","","4","T4_manual_review"
"community","local_web_controller","Local WEB Controller","Open Source","UNKNOWN","","","5","T4_manual_review"
"community","logged_pv","Logged PV","EPICS (Argonne National Lab)","UNKNOWN","","","8","T4_manual_review"
"community","logo","Siemens LOGO! PLC鎺у埗鍣?","Siemens","UNKNOWN","","","3","T4_manual_review"
"community","loopback_communicator","Generic Loopback Communicator","Open Source","UNKNOWN","","","9","T4_manual_review"
"community","lumiloop_ls_probe","Lumiloop LS Probe","Lumiloop GmbH","UNKNOWN","","","4","T4_manual_review"
"community","machine","Jubilee Jubilee Multi-Tool Motion Platform","Jubilee","SERIAL","pyserial","","38","T1b_serial_probe_tbd"
"community","maestro","Maestro","Pololu","SERIAL","pyserial","","6","T1b_serial_probe_tbd"
"community","marconi_instruments203_n","Marconi 2030/2031/203N 淇″彿鍙戠敓鍣?","Marconi Instruments","UNKNOWN","","*IDN?","2","T4_manual_review"
"community","masterflex_backend","'Masterflex&reg; B/T&reg; 鍙橀€熸皵鍔ㄦ车 '","鑹句竾鎷撶敓鍛界瀛?","SERIAL","pyserial","","7","T1b_serial_probe_tbd"
"community","masterflex_serial","Masterflex Serial","Cole-Parmer (Masterflex)","SERIAL","pyserial","","31","T1b_serial_probe_tbd"
"community","matchbox_laser","type: string","","SERIAL","pyserial","","418","T1b_serial_probe_tbd"
"community","mat_compatible_h5","type: string","KINEMATICA ASiA LIMITED","UNKNOWN","","","11","T4_manual_review"
"community","maui","Teledyne LeCroy MAUI Oscilloscope 绀烘尝鍣?","Teledyne LeCroy","VISA_SCPI","lantz/VISA","*IDN?","50","T2_visa_needs_rs232_idn"
"community","mc1","Qubitekk MC1 Motor Controller","Qubitekk","UNKNOWN","","POSI?","4","T4_manual_review"
"community","mc2000","type: string","","SERIAL","pyserial","","418","T1b_serial_probe_tbd"
"community","measurement","Generic Measurement Instrument Interface 鎺ュ彛妯″潡","Open Source","VISA_SCPI","lantz/VISA","*IDN?","47","T2_visa_needs_rs232_idn"
"community","mercury","Oxford Instruments Mercury iTC 浣庢俯娓╁害鎺у埗鍣?","Oxford Instruments","UNKNOWN","","","15","T4_manual_review"
"community","mercury_stepper","type: string","","SERIAL","pyserial","TMN?","418","T1_serial_probe_ready"
"community","message_based_driver","type: string","Open Source","VISA_SCPI","lantz/VISA","","12","T2_visa_needs_rs232_idn"
"community","message_server_interface","type: string","","TCP","socket","","1210","T3_network_needs_ext"
"community","message_visa_driver","Generic Message Visa Driver","National Instruments (VISA)","VISA_SCPI","lantz/VISA","","5","T2_visa_needs_rs232_idn"
"community","meter_care_lite","Meter Care Lite","Mettler Toledo","SERIAL","pyserial","","1","T1b_serial_probe_tbd"
"community","mfc","type: string","","SERIAL","pyserial","","66","T1b_serial_probe_tbd"
"community","mgt508","MGT508 14GB DRAM expansion","D-TACQ Solutions","TCP","socket","","2","T3_network_needs_ext"
"community","mgt_dram_pull_client","MGT Dram Pull Client","D-TACQ Solutions","TCP","socket","","0","T3_network_needs_ext"
