"source","folder","name","manufacturer","conn","framework","probe_cmd","actions","verdict"
"community","sync_unix_client","Open Standard Sync Unix","Open Standard","TCP","socket","","6","T3_network_needs_ext"
"community","tc038","Generic TC038 Temperature Controller 温度控制器","Novus Automation","VISA_SCPI","scpi-framework","INF6","7","T2_visa_needs_rs232_idn"
"community","tc038_d","Generic TC038D Temperature Controller 温度控制器","Novus Automation","VISA_SCPI","scpi-framework","","5","T2_visa_needs_rs232_idn"
"community","tc200","Thorlabs TC200 Temperature Controller","Thorlabs","VISA_SCPI","scpi-framework","*IDN?","1","T2_visa_needs_rs232_idn"
"community","tcpip_connection","tcpip_connection","","SERIAL","pyserial","","8","T1b_serial_probe_tbd"
"community","tcpip_instr_vicp","TCP/IP VICP Instrument VICP协议仪器接口","Open Standard (VICP)","VISA_SCPI","lantz/VISA","","18","T2_visa_needs_rs232_idn"
"community","tcp_client","TCP Client","Open Standard","SERIAL","pyserial","","1","T1b_serial_probe_tbd"
"community","tcp_client_value","TCP Client Value","Open Standard","TCP","socket","","5","T3_network_needs_ext"
"community","tcp_port_mapper_client","TCP Port Mapper Client 网络端口映射客户端","Open Source","TCP","socket","","37","T3_network_needs_ext"
"community","tcp_raw_driver","Generic Tcp Raw Driver","Open Standard","VISA_SCPI","lantz/VISA","","5","T2_visa_needs_rs232_idn"
"community","tcp_sampler","TCP Sampler","Open Standard","TCP","socket","","11","T3_network_needs_ext"
"community","tcp_serve_value","TCP Serve Value","Open Standard","TCP","socket","","3","T3_network_needs_ext"
"community","tds1002b","Tektronix TDS1002B Digital Storage Oscilloscope","Tektronix","VISA_SCPI","lantz/VISA","*IDN?","1","T2_visa_needs_rs232_idn"
"community","tds1012","Tektronix TDS1012 Digital Storage Oscilloscope","Tektronix","VISA_SCPI","lantz/VISA","*IDN?","17","T2_visa_needs_rs232_idn"
"community","tds2024","Tektronix TDS2024 Digital Storage Oscilloscope","Tektronix","VISA_SCPI","lantz/VISA","ID?","14","T2_visa_needs_rs232_idn"
"community","tek_dpo4104","Tektronix DPO4104 Digital Phosphor Oscilloscope","Tektronix","TCP","socket","DAT:STOP?","1","T3_network_needs_ext"
"community","tek_dpo70000","MSO/DPO70000DX","Tektronix","TCP","socket","DAT:SOU?","4","T3_network_needs_ext"
"community","tek_series_curve_feat","AMPTEK AMPTEK FASTSDD DP5-X","AMPTEK INC.","VISA_SCPI","lantz/VISA","display:global:{}:state?","1","T2_visa_needs_rs232_idn"
"community","tek_tds224","Tektronix TDS224 Digital Real-Time Oscilloscope","Tektronix","TCP","socket","CURVE?","1","T3_network_needs_ext"
"community","tek_tds5xx","TDS5000 Series Digital Phosphor Oscilloscopes","Tektronix","TCP","socket","CURVE?","2","T3_network_needs_ext"
"community","telnet","Telnet","Open Standard (Telnet)","TCP","socket","","24","T3_network_needs_ext"
"community","temper_device","A TEMPer USB thermometer","TEMPer (PCsensor)","USB_SDK","usb/dll","","6","T3u_usb_sdk_not_serial"
"community","temp_dir_collection","temp_dir_collection","","TCP","socket","Warning: inline data between tags?!\n","4","T3_network_needs_ext"
"community","tf_mini","Benewake Tf Mini","Benewake","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","thermo_fisher_thermocycler_backend","ThermoScientific KingFisher Flex全自动核酸提取仪","赛默飞世尔科技生命科学产品","TCP","socket","","47","T3_network_needs_ext"
"community","thorlabs_filter_wheel","Thorlabs Filter Wheel","Thorlabs","SERIAL","pyserial","","0","T1b_serial_probe_tbd"
"community","thorlabs_fw102_c","FW102CSix-Position Motorized Filter Wheel for Ø1"" (Ø25 mm) Optics","Thorlabs","SERIAL","pyserial","","0","T1b_serial_probe_tbd"
"community","thorlabs_fw212_c","FW212CTwelve-Position Motorized Filter Wheel for Ø1/2"" (Ø12.5 mm) Optics","Thorlabs","SERIAL","pyserial","","0","T1b_serial_probe_tbd"
"community","thorlabs_pm100_a_wrapper","PM100ACompact Power Meter Console, Mechanical Analog & Graphical LC Display","Thorlabs","TCP","network-framework","*IDN?","4","T3_network_needs_ext"
"community","thor_labs_apt","str","Thorlabs","VISA_SCPI","scpi-framework","","1","T2_visa_needs_rs232_idn"
"community","tiger_controller","Applied ASI Tiger Controller 控制器","Applied Scientific Instrumentation","SERIAL","pyserial","","52","T1b_serial_probe_tbd"
"community","tomato_jumo_0cc24ae2","JUMO Quantrol LC100/LC200/LC300 PID控制器","JUMO","SERIAL","pyserial","","1","T1b_serial_probe_tbd"
"community","tomato_jumo__device","JUMO Quantrol LC100/LC200/LC300 PID控制器","久茂","SERIAL","pyserial","","7","T1b_serial_probe_tbd"
"community","toptica_i_beam_laser","toptica_i_beam_laser","","SERIAL","pyserial","","5","T1b_serial_probe_tbd"
"community","top_mode","Communicates with a `Toptica Topmode`_ instrument","Open Source","VISA_SCPI","scpi-framework","(param-set! ","30","T2_visa_needs_rs232_idn"
"community","tpg261","Pfeiffer Vacuum TPG 261 Compact Pressure Gauge","Pfeiffer Vacuum","SERIAL","pyserial","","3","T1b_serial_probe_tbd"
"community","tpg36x","str","Pfeiffer Vacuum","VISA_SCPI","scpi-framework","SEN","1","T2_visa_needs_rs232_idn"
"community","triton200","Oxford Instruments Triton 200 Cryofree Dilution Refrigerator","Oxford Instruments","TCP","socket","","7","T3_network_needs_ext"
"community","ttipl330_p","PL068","Aim-TTi","VISA_SCPI","scpi-framework","*IDN?","3","T2_visa_needs_rs232_idn"
"community","tti_ql355tp","QL355","Aim-TTi","UNKNOWN","","*IDN?","14","T4_manual_review"
"community","tun_interface","TUN Interface","Open Standard","UNKNOWN","","","7","T4_manual_review"
"community","udp_client","Generic Udp Client","Open Standard","TCP","socket","","37","T3_network_needs_ext"
"community","udp_handler","Open Standard UDP Handler","Open Standard","TCP","socket","","1","T3_network_needs_ext"
"community","udp_multicast_bus","UDP Multicast BUS","Open Standard","TCP","socket","","4","T3_network_needs_ext"
"community","udp_sampler","UDP Sampler","Open Standard","TCP","socket","","10","T3_network_needs_ext"
"community","udp_value_pub","UDP Value PUB","Open Standard","TCP","socket","","2","T3_network_needs_ext"
"community","udp_value_sub","UDP Value SUB","Open Standard","TCP","socket","","5","T3_network_needs_ext"
"community","uhf_device","Zurich Instruments UHF Lock-in Amplifier 仪器 分析仪器 锁相放大器","Zurich Instruments","VISA_SCPI","lantz/VISA","*IDN?","49","T2_visa_needs_rs232_idn"
"community","up20","UP200H / UP200S - Ultrasonic Power for the Lab","Hielscher","USB_SDK","camera/spectro-sdk","","10","T3u_usb_sdk_not_serial"
"community","uploader","Generic Uploader","Open Source","SERIAL","pyserial","","38","T1b_serial_probe_tbd"
"community","usb2000","Usb2000","Ocean Insight","USB_SDK","usb/dll","","3","T3u_usb_sdk_not_serial"
"community","usb4000","Spectrometers","Ocean Optics (Ocean Insight)","VISA_SCPI","lantz/VISA","","7","T2_visa_needs_rs232_idn"
"community","usb4000_2000_plus","Usb4000 2000 Plus","Ocean Insight","USB_SDK","usb/dll","","5","T3u_usb_sdk_not_serial"
"community","usbctr","Measurement Measurement Computing USB Counter/Timer","Measurement Computing (MCC)","TCP","network-framework","","22","T3_network_needs_ext"
"community","usbtmclight","Usbtmclight","Open Standard (USBTMC)","VISA_SCPI","lantz/VISA","*IDN?","12","T2_visa_needs_rs232_idn"
"community","usbtmc_communicator","Generic Usbtmc Communicator","Open Standard (USBTMC)","VISA_SCPI","scpi-framework","","11","T2_visa_needs_rs232_idn"
"community","usbtmc_device","Generic USB TMC Instrument Interface 接口模块","Open Standard (USBTMC)","UNKNOWN","","","3","T4_manual_review"
"community","usbtmc_driver","Generic Usbtmc Driver","Open Standard (USBTMC)","VISA_SCPI","lantz/VISA","","4","T2_visa_needs_rs232_idn"
"community","usb_class","Generic Usb Class","Open Standard","SERIAL","pyserial","","8","T1b_serial_probe_tbd"
"community","usb_communicator","Generic Usb Communicator","Open Standard","VISA_SCPI","scpi-framework","","9","T2_visa_needs_rs232_idn"
"community","usb_comm_obp","ABB ABB Ltd Usb Comm Obp","ABB Ltd","USB_SDK","usb/dll","","12","T3u_usb_sdk_not_serial"
"community","usb_comm_ooi","ABB ABB Ltd Usb Comm Ooi","ABB Ltd","USB_SDK","usb/dll","","12","T3u_usb_sdk_not_serial"
"community","usb_device","Generic USB Device Interface 接口模块","Open Standard","USB_SDK","usb/dll","","5","T3u_usb_sdk_not_serial"
"community","usb_device_description","USB Device Description","Open Standard","USB_SDK","usb/dll","","21","T3u_usb_sdk_not_serial"
"community","usb_driver","Generic Usb Driver","Open Standard","VISA_SCPI","lantz/VISA","","7","T2_visa_needs_rs232_idn"
"community","usb_port","USB Port","Open Standard","USB_SDK","usb/dll","","10","T3u_usb_sdk_not_serial"
"community","usb_train_id","European XFEL USB Train Id","European XFEL","SERIAL","pyserial","","2","T1b_serial_probe_tbd"
"community","us_btin","USBtin CAN总线适配器","Open Source","SERIAL","pyserial","","17","T1b_serial_probe_tbd"
"community","uxbus_cmd","UFACTORY UFACTORY Uxbus Cmd","UFACTORY (xArm)","SERIAL","pyserial","","193","T1b_serial_probe_tbd"
"community","uxbus_cmd_ser","UFactory Uxbus Cmd Ser","UFactory","ROBOT","robot/ros-sdk","","7","T3r_robot_sdk"
"community","uxbus_cmd_tcp","UFACTORY UFACTORY Uxbus Cmd Tcp","UFACTORY (xArm)","ROBOT","robot/ros-sdk","","17","T3r_robot_sdk"
"community","uxr","Keysight UXR Series Real-Time Oscilloscope 示波器","Keysight Technologies","VISA_SCPI","lantz/VISA","","2","T2_visa_needs_rs232_idn"
"community","ux_rxxx2_a","Pro Benchtop Oscilloscopes","Keysight","VISA_SCPI","lantz/VISA","","2","T2_visa_needs_rs232_idn"
